seaotter,releasenum,days_since_rel,fix_type,fix_qual,latitude,longitude,,
339,2,2.041666667,b,0.5,36.824564,-121.751979,,
339,3,0,b,0.5,36.816143,-121.74967,,
339,3,1,b,0.5,36.816134,-121.765121,,
339,3,2.013888889,b,0.5,36.813723,-121.77089,,
339,3,3.013888889,b,0.5,36.813523,-121.77499,,
339,3,4.020833333,v,0.5,36.813545,-121.775304,,
339,3,5.170833333,r,2,36.816088,-121.768694,,
339,3,7.021527778,b,0.5,36.813972,-121.774408,,
339,3,8.153472222,b,0.5,36.813951,-121.775567,,
339,3,8.970833333,b,0.5,36.813915,-121.770994,,
339,3,12.18402778,b,0.5,36.813971,-121.774412,,
339,3,13.02916667,b,0.5,36.813896,-121.774452,,
339,3,15.99305556,b,0.5,36.808831,-121.787106,,
344,1,0,b,0.5,36.813644,-121.759228,,
344,1,1,b,0.5,36.815597,-121.764354,,
344,1,2.035416667,b,0.5,36.815268,-121.766041,,
344,1,2.090277778,b,0.5,36.816071,-121.765715,,
344,1,3,b,0.5,36.817153,-121.762247,,
344,1,3.930555556,r,1,36.817317,-121.755287,,
344,1,5.055555556,b,0.5,36.812963,-121.763758,,
344,1,5.941666667,b,0.5,36.816209,-121.768017,,
344,1,6.956944444,b,0.5,36.813008,-121.772282,,
344,1,7.916666667,b,0.5,36.814165,-121.763889,,
344,1,8.942361111,b,0.5,36.815066,-121.764408,,
344,1,10.15347222,b,0.5,36.81229,-121.781734,,
344,1,11.03472222,b,0.5,36.812119,-121.78144,,
344,1,12.08333333,r,1,36.814867,-121.768086,,
344,1,14.94097222,b,0.5,36.810261,-121.784489,,
344,1,15.95347222,b,0.5,36.811101,-121.783592,,
344,1,16.20069444,b,0.5,36.810449,-121.787947,,
344,1,17.18541667,b,0.5,36.810564,-121.784803,,
344,1,17.95625,b,0.5,36.806855,-121.790574,,
344,1,19.0625,b,0.5,36.835676,-121.816441,,
344,1,20.13541667,v,0.5,36.811326,-121.78759,,
344,1,21.12986111,b,0.5,36.810288,-121.787972,,
344,1,21.95763889,b,0.5,36.810474,-121.78797,,
344,1,22.99027778,b,0.5,36.811785,-121.781745,,
344,1,24.14583333,b,0.5,36.810514,-121.784608,,
344,1,24.88819444,b,0.5,36.809974,-121.787727,,
344,1,26.10902778,b,0.5,36.811244,-121.779351,,
344,1,27.94791667,b,0.5,36.810233,-121.787872,,
344,1,28.98888889,b,0.5,36.811298,-121.78361,,
353,1,0,b,0.5,36.816311,-121.747421,,
353,1,1.09375,a,1,36.806532,-121.858758,,
353,1,2.0625,b,0.5,36.625264,-121.850824,,
353,1,2.239583333,b,0.5,36.696557,-121.919438,,
353,1,3.1875,b,0.5,36.959669,-122.019346,,
353,1,4.208333333,b,0.5,36.957461,-122.017251,,
353,1,5.029166667,b,0.5,36.959535,-122.018613,,
353,1,5.9375,r,1,36.960161,-122.019948,,
353,1,6.260416667,r,2,36.960562,-122.020517,,
353,1,6.939583333,r,1,36.958849,-122.018177,,
353,1,8.077083333,r,1,36.958907,-122.017846,,
353,1,9.09375,r,1,36.959969,-122.01947,,
353,1,10.0625,r,3,36.94508,-122.041165,,
353,1,11.02083333,r,2,36.95979,-122.019474,,
353,1,11.99583333,b,0.5,36.960111,-122.020023,,
353,1,14.0625,r,1,36.957588,-122.017528,,
353,1,15.96180556,r,0.5,36.959927,-122.019484,,
353,1,18.04027778,r,2,36.959952,-122.01926,,
