"","seaotter","dist4","est_cauchy"
"146","315",3,0.121319206075733
"147","315",4,0.217943611126329
"148","315",4,0.217943611126329
"149","315",4,0.217943611126329
"150","327",2,0.195971116238881
"151","327",3,0.0962667848799608
"152","327",18,0.00152714276687114
"153","327",11,0.00450016107720318
"154","327",2,0.195971116238881
"155","327",11,0.00450016107720318
"156","327",16,0.00196978913878413
"157","327",3,0.0962667848799608
"158","327",14,0.00263603266256669
"159","327",13,0.00310301597253197
"160","327",1,0.220876861040547
"161","327",2,0.195971116238881
"162","327",2,0.195971116238881
"163","327",1,0.220876861040547
"164","327",0,0.115451457252027
"165","327",0,0.115451457252027
"166","327",0,0.115451457252027
"167","327",2,0.195971116238881
"168","327",3,0.0962667848799608
"169","327",0,0.115451457252027
"170","327",1,0.220876861040547
"171","327",0,0.115451457252027
"172","327",0,0.115451457252027
"173","327",1,0.220876861040547
"174","339",2,0.0834009798443361
"175","339",3,0.0240321552107593
"176","339",1,0.89806385687374
"177","339",0,0.111350692944716
"178","339",1,0.89806385687374
"179","339",1,0.89806385687374
"180","339",1,0.89806385687374
"181","339",1,0.89806385687374
"182","339",0,0.111350692944716
"183","339",0,0.111350692944716
"184","339",1,0.89806385687374
"185","339",1,0.89806385687374
"186","339",0,0.111350692944716
"187","339",0,0.111350692944716
"188","339",0,0.111350692944716
"189","339",0,0.111350692944716
"190","339",1,0.89806385687374
"191","344",1,31.8303778653847
"192","344",0,0.00318305941006063
"193","344",0,0.00318305941006063
"194","344",2,0.0031825017941321
"195","344",4,0.000353663393776809
"196","344",2,0.0031825017941321
"197","344",0,0.00318305941006063
"198","344",1,31.8303778653847
"199","344",1,31.8303778653847
"200","344",0,0.00318305941006063
"201","344",1,31.8303778653847
"202","344",0,0.00318305941006063
"203","344",1,31.8303778653847
"204","344",1,31.8303778653847
"205","344",0,0.00318305941006063
"206","344",1,31.8303778653847
"207","344",1,31.8303778653847
"208","344",1,31.8303778653847
"209","344",5,0.000198938078354941
"210","344",4,0.000353663393776809
"211","344",0,0.00318305941006063
"212","344",0,0.00318305941006063
"213","344",1,31.8303778653847
"214","344",0,0.00318305941006063
"215","344",1,31.8303778653847
"216","344",1,31.8303778653847
"217","344",1,31.8303778653847
"218","344",1,31.8303778653847
"219","353",10,0.00276558912131236
"220","353",21,0.000580960038979418
"221","353",11,0.00225564436887372
"222","353",31,0.000260653064467482
"223","353",1,0.377662174500549
"224","353",1,0.377662174500549
"225","353",1,0.377662174500549
"226","353",0,0.216011200518278
