"","seaotter","long","lat"
"134","217",-121.915910659898,36.9544421836228
"135","217",-121.924233502538,36.9544421836228
"136","217",-121.924233502538,36.9544421836228
"137","217",-121.907587817259,36.946117617866
"138","217",-121.899264974619,36.9377930521092
"139","217",-121.89094213198,36.9294684863524
"140","217",-121.88261928934,36.9211439205955
"141","217",-121.874296446701,36.9128193548387
"142","217",-121.865973604061,36.9044947890819
"143","217",-121.857650761421,36.8961702233251
"144","217",-121.849327918782,36.8878456575682
"145","217",-121.841005076142,36.8795210918114
"146","217",-121.832682233503,36.8711965260546
"147","217",-121.824359390863,36.8628719602978
"148","217",-121.816036548223,36.8545473945409
"149","217",-121.807713705584,36.8462228287841
"150","217",-121.799390862944,36.8378982630273
"151","217",-121.791068020305,36.8212491315136
"152","217",-121.791068020305,36.8129245657568
