"","X.2","X.1","X.x","seaotter","scale","sex","relyear","relmonth","relsiteATOS","relage_d","strandage_d","strandsiteATOS","rel_date_real","mean_daily_ehs_sst","condition","days_in","relyear_first","surrogate","outcome","max_relnum","sst_loess_pred","sst_loess_se","sst_loess_resid","pdo_loess_pred","pdo_loess_se","pdo_loess_resid","enso_loess_pred","enso_loess_se","enso_loess_resid","date","mei_rank","pdo_index","scale_loess_pred","scale_loess_se","scale_loess_resid","X.y","FoodType.x","prop_foodtype_otter_sum.x","X","FoodType.y","prop_foodtype_otter_sum.y","percentlive"
"28",28,28,28,"587",0.949034643335069,"f",2012,10,321,205,7,920,"2012-10-02",15.4875,0.588868176819803,198,2012,"Rosa","success",3,13.6302740586991,0.0439348756944672,1.85722594130086,-0.697888111557865,0.120556683112813,-0.092111888442135,30.0805118013221,2.44092147382709,5.91948819867793,2012-10-02,36,-0.79,0.843010051577538,0.335340015554247,0.106024591757531,27,"Live",0.526142007605181,28,"Live",0.526142007605181,52.6142007605181
"29",29,29,29,"595",1.36832532232656,"f",2013,4,321,295,7,806,"2013-04-17",12.3979166666667,0.600383161128025,288,2013,"Mae","success",4,13.9489982338937,0.0443389110815682,-1.55108156722706,-0.37810145433202,0.118301473453886,0.21810145433202,36.0944143349347,2.40017263931019,-2.09441433493467,2013-04-17,34,-0.16,0.80779692474481,0.319041847663665,0.56052839758175,NA,NA,NA,29,"Live",0.384391515239267,38.4391515239267
"30",30,30,30,"621",1.0877811249243,"m",2013,11,321,309,35,233,"2013-11-04",13.1635416666667,0.621310909036158,274,2013,"Rosa","success",2,14.2049632498144,0.0440315672223294,-1.04142158314771,0.160416626624226,0.115739639115145,-0.270416626624226,41.5182738059778,2.4373490008238,-6.5182738059778,2013-11-04,35,-0.11,0.772808451076098,0.314009621873947,0.314972673848202,28,"Live",0.27302648308933,30,"Live",0.27302648308933,27.302648308933
"31",31,31,31,"623",0.656076718933437,"m",2014,3,321,381,2,823,"2014-03-11",13.9989583333333,0.659656650242989,379,2014,"Abby","success",2,14.4225507951367,0.0435745874028517,-0.423592461803356,0.332506792982023,0.114611341109439,0.637493207017977,44.6285678135221,2.36251763475087,-8.62856781352214,2014-03-11,36,0.97,0.759242743167255,0.321756388296547,-0.103166024233818,29,"Live",0.346387874764908,31,"Live",0.346387874764908,34.6387874764908
"32",32,32,32,"653",0.01,"f",2014,9,321,305,42,908,"2014-09-27",17.2395833333333,0.583079732070541,263,2014,"Kit","success",1,14.6453437795093,0.0448784470475978,2.59423955382405,0.616541549806885,0.11187360586521,0.463458450193115,48.1242078128506,2.33678429249957,0.875792187149443,2014-09-27,49,1.08,0.788297913614135,0.326937503408811,-0.778297913614135,30,"Live",0.451211544586637,32,"Live",0.451211544586637,45.1211544586637
"33",33,33,33,"657",0.168890689596132,"f",2014,12,321,330,14,387,"2014-12-27",13.953125,0.609577778853092,316,2014,"Rosa","success",1,14.6696800374306,0.0439827506699609,-0.716555037430592,0.722770704426916,0.109833347939218,1.78722929557308,48.7259867913816,2.316409002276,-0.725986791381558,2014-12-27,48,2.51,0.849539632949969,0.322105506390419,-0.680648943353838,31,"Live",0.510916679237693,33,"Live",0.510916679237693,51.0916679237693
"34",34,34,34,"671",0.0148731831439171,"f",2015,5,321,308,3,909,"2015-04-29",14.1114583333333,0.593069844505754,305,2015,"Abby","success",1,14.671664210218,0.0428685908889323,-0.560205876884666,0.866914216826422,0.106269744671332,0.333085783173578,49.3790620779417,2.27217154101434,13.6209379220583,2015-04-29,63,1.2,0.923325996434897,0.314354821929452,-0.908452813290979,32,"Live",0.483853395221523,34,"Live",0.483853395221523,48.3853395221523
"35",35,35,35,"673",1.67083760469333,"m",2015,7,321,362,3,730,"2015-07-14",18.4135416666667,0.6299875323806,359,2015,"Gidget","success",3,14.6678398998818,0.0425892951627042,3.74570176678491,0.922497198906594,0.105400714903718,0.917502801093406,49.4669744538787,2.25136710339124,18.5330255461213,2015-07-14,68,1.84,1.01704375375513,0.305756942147571,0.653793850938202,33,"Live",0.336337494405881,35,"Live",0.336337494405881,33.6337494405881
"36",36,36,36,"685",1.90335436885436,"f",2015,9,321,340,42,247,"2015-09-22",17.9479166666667,0.593395575455832,298,2015,"Ivy","success",1,14.6688714517999,0.0422936743771432,3.27904521486679,0.972132066460295,0.105017427504888,0.967867933539705,49.4296934269338,2.22580107694373,18.5703065730662,2015-09-22,68,1.94,1.13807965459688,0.298611589091208,0.765274714257485,34,"Live",0.408143423160143,36,"Live",0.408143423160143,40.8143423160143
"37",37,37,37,"687",0.977435740842112,"m",2015,10,321,335,14,808,"2015-10-27",16.8729166666667,0.65333302481162,321,2015,"Kit","success",4,14.6720319791157,0.0420323725996547,2.20088468755099,0.993726721868089,0.105054092531735,0.476273278131911,49.3586564925764,2.21042839330233,18.6413435074236,2015-10-27,68,1.47,1.29382044864635,0.296836567589595,-0.316384707804238,35,"Live",0.501639484711124,37,"Live",0.501639484711124,50.1639484711123
"38",38,38,38,"716",1.06285463731792,"f",2017,3,321,508,1,824,"2017-03-09",13.0239583333333,0.607913390595795,507,2017,"Abby","success",3,14.5722082223793,0.0391615423865097,-1.54824988904601,1.0904877347637,0.157268439488151,-0.350487734763704,44.5945396258167,2.27974534052387,-13.5945396258167,2017-03-09,31,0.74,1.4833715581302,0.30900475704731,-0.420516920812284,36,"Live",0.644564749261422,38,"Live",0.644564749261422,64.4564749261422
"39",39,39,39,"723",1.69277066725548,"f",2017,8,382,563,49,258,"2017-08-03",15.3052083333333,0.63712982144622,514,2017,"Ivy","success",1,14.4927723021697,0.041861694233134,0.812436031163616,1.00384736429709,0.19594838446539,-0.913847364297091,41.6833613116917,2.59949791919778,-8.68336131169175,2017-08-03,33,0.09,1.7007845537085,0.344498784651183,-0.0080138864530197,37,"Live",0.523716563490655,39,"Live",0.523716563490655,52.3716563490655
"40",40,40,40,"774",2.05233618883718,"m",2018,2,397,364,35,245,"2018-02-21",12.0083333333333,0.66390746340816,329,2018,"Selka","success",1,14.3495758575444,0.0520351185636637,-2.34124252421107,NA,NA,NA,37.1921288372181,3.24731753919268,-22.1921288372181,2018-02-21,15,NA,1.94586540771757,0.40733898698045,0.10647078111961,38,"Live",0.516819881477882,40,"Live",0.516819881477882,51.6819881477882
"41",41,41,41,"808",2.02858823625299,"m",2018,9,422,322,49,426,"2018-09-13",15.621875,0.650504311857971,273,2018,"Rosa","success",1,14.1731851765242,0.0706805737361887,1.44868982347577,NA,NA,NA,30.4802800877157,4.35809076344054,17.5197199122843,2018-09-13,48,NA,2.21842009249375,0.496938289603976,-0.189831856240757,39,"Live",0.503055218095569,41,"Live",0.503055218095569,50.3055218095569
"42",42,42,42,"809",2.78897332359387,"m",2018,9,422,271,24,274,"2018-09-13",15.621875,0.604450914831661,247,2018,"Abby","success",1,14.1731851765242,0.0706805737361887,1.44868982347577,NA,NA,NA,30.4802800877157,4.35809076344054,17.5197199122843,2018-09-13,48,NA,2.51825458037336,0.610711076268996,0.270718743220508,40,"Live",0.50257008081613,42,"Live",0.50257008081613,50.257008081613
