"","seaotter","scale","rel_date","sex","relnum.x","relyear","relmonth","relsiteATOS","relage_d","strandage_d","strandsiteATOS","rel_date_real","date","mean_temp","year","otter","relnum.y","reldate","relweightdate","weightkg","bcindxdate","lengthcm","weightkg.1","w_v_l_date","condition","days_in","relyear_first","surrogate","outcome","FoodType.x","prop_foodtype_otter_sum","percentlive","FoodType.y","prop_foodtype_day_mean","percentlive_mean"
"28","587",0.949034643335069,"10/2/2012","f",1,2012,10,321,205,7,920,2012-10-02,2012-10-02,15.4875,2012,587,1,2012-10-02,2012-10-02,15.4,2012-09-26,103.9,15.4,6,0.588868176819803,198,2012,"Rosa","success","Live",0.526142007605181,52.6142007605181,"Live",0.537906816924446,53.7906816924446
"29","595",1.36832532232656,"4/17/2013","f",1,2013,4,321,295,7,806,2013-04-17,2013-04-17,12.3979166666667,2013,595,1,2013-04-17,2013-04-17,17.4,2013-04-03,107.7,16.6,14,0.600383161128025,288,2013,"Mae","success","Live",0.384391515239267,38.4391515239267,"Live",0.404955571430894,40.4955571430894
"30","621",1.0877811249243,"11/4/2013","m",1,2013,11,321,309,35,233,2013-11-04,2013-11-04,13.1635416666667,2013,621,1,2013-11-04,2013-11-04,21.1,2013-08-20,104.8,18,76,0.621310909036158,274,2013,"Rosa","success","Live",0.27302648308933,27.302648308933,"Live",0.31259568135681,31.259568135681
"31","623",0.656076718933437,"3/11/2014","m",1,2014,3,321,381,2,823,2014-03-11,2014-03-11,13.9989583333333,2014,623,1,2014-03-11,2014-03-11,25.2,2014-04-07,119.8,23.5,-27,0.659656650242989,379,2014,"Abby","success","Live",0.346387874764908,34.6387874764908,"Live",0.378341378984793,37.8341378984793
"32","653",0.01,"9/27/2014","f",1,2014,9,321,305,42,908,2014-09-27,2014-09-27,17.2395833333333,2014,653,1,2014-09-27,2014-09-27,18.1,2014-07-23,104,15,66,0.583079732070541,263,2014,"Kit","success","Live",0.451211544586637,45.1211544586637,"Live",0.455509467604587,45.5509467604587
"33","657",0.168890689596132,"12/27/2014","f",1,2014,12,321,330,14,387,2014-12-27,2014-12-27,13.953125,2014,657,1,2014-12-27,2014-12-27,19.1,2014-11-14,111.5,17.7,43,0.609577778853092,316,2014,"Rosa","success","Live",0.510916679237693,51.0916679237693,"Live",0.514637349365353,51.4637349365353
"34","671",0.0148731831439171,"4/29/2015","f",1,2015,5,321,308,3,909,2015-04-29,2015-04-29,14.1114583333333,2015,671,1,2015-04-29,2015-04-29,17,2015-04-09,109.5,16.2,20,0.593069844505754,305,2015,"Abby","success","Live",0.483853395221523,48.3853395221523,"Live",0.490161199268131,49.0161199268131
"35","673",1.67083760469333,"7/14/2015","m",1,2015,7,321,362,3,730,2015-07-14,2015-07-14,18.4135416666667,2015,673,1,2015-07-14,2015-07-14,23.2,2015-07-02,119.9,20.4,12,0.6299875323806,359,2015,"Gidget","success","Live",0.336337494405881,33.6337494405881,"Live",0.353651686865444,35.3651686865444
"36","685",1.90335436885436,"9/22/2015","f",1,2015,9,321,340,42,247,2015-09-22,2015-09-22,17.9479166666667,2015,685,1,2015-09-22,2015-09-22,17,2015-09-14,111.5,16.4,8,0.593395575455832,298,2015,"Ivy","success","Live",0.408143423160143,40.8143423160143,"Live",0.416617457599205,41.6617457599205
"37","687",0.977435740842112,"10/27/2015","m",1,2015,10,321,335,14,808,2015-10-27,2015-10-27,16.8729166666667,2015,687,1,2015-10-27,2015-10-26,22.8,2015-10-15,117.4,22.5,11,0.65333302481162,321,2015,"Kit","success","Live",0.501639484711124,50.1639484711123,"Live",0.510753329816233,51.0753329816233
"38","716",1.06285463731792,"3/9/2017","f",1,2017,3,321,508,1,824,2017-03-09,2017-03-09,13.0239583333333,2017,716,1,2017-03-09,2017-03-09,19,2017-02-20,114,17.8,17,0.607913390595795,507,2017,"Abby","success","Live",0.644564749261422,64.4564749261422,"Live",0.646842028743568,64.6842028743568
"39","723",1.69277066725548,"8/3/2017","f",1,2017,8,382,563,49,258,2017-08-03,2017-08-03,15.3052083333333,2017,723,1,2017-08-03,2017-08-03,22.3,2017-07-25,122.5,21.4,9,0.63712982144622,514,2017,"Ivy","success","Live",0.523716563490655,52.3716563490655,"Live",0.509563260324898,50.9563260324898
"40","774",2.05233618883718,"2/21/2018","m",1,2018,2,397,364,35,245,2018-02-21,2018-02-21,12.0083333333333,2018,774,1,2018-02-21,2018-02-15,24.8,2018-02-15,126,24.8,0,0.66390746340816,329,2018,"Selka","success","Live",0.516819881477882,51.6819881477882,"Live",0.526312557531849,52.6312557531849
"41","808",2.02858823625299,"9/13/2018","m",1,2018,9,422,322,49,426,2018-09-13,2018-09-13,15.621875,2018,808,1,2018-09-13,2018-09-13,23.4,2018-09-05,121.5,22.7,8,0.650504311857971,273,2018,"Rosa","success","Live",0.503055218095569,50.3055218095569,"Live",0.502168934884291,50.2168934884291
"42","809",2.78897332359387,"9/13/2018","m",1,2018,9,422,271,24,274,2018-09-13,2018-09-13,15.621875,2018,809,1,2018-09-13,2018-09-13,17.9,2018-09-05,107.5,16.9,8,0.604450914831661,247,2018,"Abby","success","Live",0.50257008081613,50.257008081613,"Live",0.501919367783263,50.1919367783263
