"","seaotter","Date","FoodType","Amount_offered_kg","Amount_offered_kg_num","DateTime_real","year","month","Date_real"
"75",653,2014-08-29 16:40:00,"Supplemental",0.465,0.465,2014-08-29 16:40:00,2014,8,2014-08-29
"76",653,2014-08-29 16:40:08,"Supplemental",0.62,0.62,2014-08-29 16:40:08,2014,8,2014-08-29
"77",653,2014-08-29 16:40:08,"Supplemental",0.465,0.465,2014-08-29 16:40:08,2014,8,2014-08-29
"78",653,2014-08-29 22:00:00,"Live",0.651,0.651,2014-08-29 22:00:00,2014,8,2014-08-29
"79",653,2014-08-29 22:00:00,"Live",0.285,0.285,2014-08-29 22:00:00,2014,8,2014-08-29
"80",653,2014-08-29 22:00:00,"Live",1.333,1.333,2014-08-29 22:00:00,2014,8,2014-08-29
"81",653,2014-08-29 22:00:00,"Live",0.948,0.948,2014-08-29 22:00:00,2014,8,2014-08-29
"82",653,2014-08-29 22:00:24,"Live",0.285,0.285,2014-08-29 22:00:24,2014,8,2014-08-29
"83",653,2014-08-29 22:00:24,"Live",1.333,1.333,2014-08-29 22:00:24,2014,8,2014-08-29
"84",653,2014-08-29 22:00:24,"Live",0.948,0.948,2014-08-29 22:00:24,2014,8,2014-08-29
"85",653,2014-08-29 22:00:24,"Live",0.651,0.651,2014-08-29 22:00:24,2014,8,2014-08-29
"86",653,2014-08-30 08:30:00,"Live",0.217,0.217,2014-08-30 08:30:00,2014,8,2014-08-30
"87",653,2014-08-30 08:30:00,"Supplemental",0.48,0.48,2014-08-30 08:30:00,2014,8,2014-08-30
"88",653,2014-08-30 08:30:00,"Supplemental",0.388,0.388,2014-08-30 08:30:00,2014,8,2014-08-30
"89",653,2014-08-30 08:30:29,"Live",0.217,0.217,2014-08-30 08:30:29,2014,8,2014-08-30
"90",653,2014-08-30 08:30:29,"Supplemental",0.388,0.388,2014-08-30 08:30:29,2014,8,2014-08-30
"91",653,2014-08-30 08:30:29,"Supplemental",0.48,0.48,2014-08-30 08:30:29,2014,8,2014-08-30
"92",653,2014-08-30 10:10:00,"Live",0.93,0.93,2014-08-30 10:10:00,2014,8,2014-08-30
"93",653,2014-08-30 10:10:00,"Live",0.62,0.62,2014-08-30 10:10:00,2014,8,2014-08-30
"94",653,2014-08-30 10:10:15,"Live",0.62,0.62,2014-08-30 10:10:15,2014,8,2014-08-30
"95",653,2014-08-30 10:10:15,"Live",0.93,0.93,2014-08-30 10:10:15,2014,8,2014-08-30
"96",653,2014-08-30 12:45:00,"Supplemental",0.418,0.418,2014-08-30 12:45:00,2014,8,2014-08-30
"97",653,2014-08-30 12:45:00,"Supplemental",0.248,0.248,2014-08-30 12:45:00,2014,8,2014-08-30
"98",653,2014-08-30 12:45:11,"Supplemental",0.248,0.248,2014-08-30 12:45:11,2014,8,2014-08-30
"99",653,2014-08-30 12:45:11,"Supplemental",0.418,0.418,2014-08-30 12:45:11,2014,8,2014-08-30
"100",653,2014-08-30 15:20:00,"Live",0.645,0.645,2014-08-30 15:20:00,2014,8,2014-08-30
"101",653,2014-08-30 15:20:57,"Live",0.645,0.645,2014-08-30 15:20:57,2014,8,2014-08-30
"102",653,2014-08-30 17:15:00,"Supplemental",0.465,0.465,2014-08-30 17:15:00,2014,8,2014-08-30
"103",653,2014-08-30 17:15:00,"Live",0.459,0.459,2014-08-30 17:15:00,2014,8,2014-08-30
"104",653,2014-08-30 17:15:57,"Live",0.459,0.459,2014-08-30 17:15:57,2014,8,2014-08-30
"105",653,2014-08-30 17:15:57,"Supplemental",0.465,0.465,2014-08-30 17:15:57,2014,8,2014-08-30
"106",653,2014-08-30 22:00:57,"Supplemental",0.53,0.53,2014-08-30 22:00:57,2014,8,2014-08-30
"107",653,2014-08-30 22:00:57,"Supplemental",0.555,0.555,2014-08-30 22:00:57,2014,8,2014-08-30
"108",653,2014-08-30 22:25:00,"Supplemental",0.555,0.555,2014-08-30 22:25:00,2014,8,2014-08-30
"109",653,2014-08-30 22:25:00,"Supplemental",0.53,0.53,2014-08-30 22:25:00,2014,8,2014-08-30
"110",653,2014-08-31 08:20:45,"Supplemental",0.542,0.542,2014-08-31 08:20:45,2014,8,2014-08-31
"111",653,2014-08-31 08:20:45,"Supplemental",0.542,0.542,2014-08-31 08:20:45,2014,8,2014-08-31
"112",653,2014-08-31 10:30:31,"Live",0.465,0.465,2014-08-31 10:30:31,2014,8,2014-08-31
"113",653,2014-08-31 10:30:31,"Live",0.713,0.713,2014-08-31 10:30:31,2014,8,2014-08-31
"114",653,2014-08-31 12:20:50,"Live",0.302,0.302,2014-08-31 12:20:50,2014,8,2014-08-31
"115",653,2014-08-31 12:20:50,"Supplemental",0.465,0.465,2014-08-31 12:20:50,2014,8,2014-08-31
"116",653,2014-08-31 14:15:50,"Live",0.341,0.341,2014-08-31 14:15:50,2014,8,2014-08-31
"117",653,2014-08-31 16:45:02,"Live",0.31,0.31,2014-08-31 16:45:02,2014,8,2014-08-31
"118",653,2014-08-31 16:45:02,"Supplemental",0.372,0.372,2014-08-31 16:45:02,2014,8,2014-08-31
"119",653,2014-08-31 16:45:02,"Supplemental",0.31,0.31,2014-08-31 16:45:02,2014,8,2014-08-31
"120",653,2014-08-31 20:45:58,"Live",0.465,0.465,2014-08-31 20:45:58,2014,8,2014-08-31
"121",653,2014-08-31 20:45:58,"Supplemental",0.62,0.62,2014-08-31 20:45:58,2014,8,2014-08-31
"122",653,2014-09-01 09:45:01,"Live",0.465,0.465,2014-09-01 09:45:01,2014,9,2014-09-01
"123",653,2014-09-01 09:45:01,"Supplemental",0.31,0.31,2014-09-01 09:45:01,2014,9,2014-09-01
"124",653,2014-09-01 09:45:01,"Supplemental",0.31,0.31,2014-09-01 09:45:01,2014,9,2014-09-01
"125",653,2014-09-01 13:40:34,"Supplemental",0.543,0.543,2014-09-01 13:40:34,2014,9,2014-09-01
"126",653,2014-09-01 13:40:34,"Supplemental",0.543,0.543,2014-09-01 13:40:34,2014,9,2014-09-01
"127",653,2014-09-01 15:30:44,"Live",0.682,0.682,2014-09-01 15:30:44,2014,9,2014-09-01
"128",653,2014-09-01 17:40:46,"Live",0.236,0.236,2014-09-01 17:40:46,2014,9,2014-09-01
"129",653,2014-09-01 17:40:46,"Supplemental",0.233,0.233,2014-09-01 17:40:46,2014,9,2014-09-01
"130",653,2014-09-01 17:40:46,"Supplemental",0.481,0.481,2014-09-01 17:40:46,2014,9,2014-09-01
"131",653,2014-09-01 21:40:46,"Supplemental",0.608,0.608,2014-09-01 21:40:46,2014,9,2014-09-01
"132",653,2014-09-01 21:40:46,"Supplemental",0.416,0.416,2014-09-01 21:40:46,2014,9,2014-09-01
"133",653,2014-09-01 21:40:46,"Supplemental",0.155,0.155,2014-09-01 21:40:46,2014,9,2014-09-01
"134",653,2014-09-02 09:00:46,"Live",0.465,0.465,2014-09-02 09:00:46,2014,9,2014-09-02
"135",653,2014-09-02 09:00:46,"Supplemental",0.652,0.652,2014-09-02 09:00:46,2014,9,2014-09-02
"136",653,2014-09-02 13:00:00,"Supplemental",0.62,0.62,2014-09-02 13:00:00,2014,9,2014-09-02
"137",653,2014-09-02 13:00:00,"Supplemental",0.496,0.496,2014-09-02 13:00:00,2014,9,2014-09-02
"138",653,2014-09-02 15:45:53,"Live",0.31,0.31,2014-09-02 15:45:53,2014,9,2014-09-02
"139",653,2014-09-02 15:45:53,"Live",0.484,0.484,2014-09-02 15:45:53,2014,9,2014-09-02
"140",653,2014-09-02 15:45:53,"Live",0.447,0.447,2014-09-02 15:45:53,2014,9,2014-09-02
"141",653,2014-09-02 17:15:31,"Live",0.437,0.437,2014-09-02 17:15:31,2014,9,2014-09-02
"142",653,2014-09-02 17:15:31,"Supplemental",0.403,0.403,2014-09-02 17:15:31,2014,9,2014-09-02
"143",653,2014-09-02 22:10:42,"Supplemental",0.714,0.714,2014-09-02 22:10:42,2014,9,2014-09-02
"144",653,2014-09-02 22:10:42,"Live",0.682,0.682,2014-09-02 22:10:42,2014,9,2014-09-02
"145",653,2014-09-02 22:10:42,"Live",1.334,1.334,2014-09-02 22:10:42,2014,9,2014-09-02
"146",653,2014-09-03 09:30:00,"Live",0.434,0.434,2014-09-03 09:30:00,2014,9,2014-09-03
"147",653,2014-09-03 09:30:00,"Supplemental",0.698,0.698,2014-09-03 09:30:00,2014,9,2014-09-03
"148",653,2014-09-03 09:30:02,"Live",0.434,0.434,2014-09-03 09:30:02,2014,9,2014-09-03
"149",653,2014-09-03 09:30:02,"Supplemental",0.698,0.698,2014-09-03 09:30:02,2014,9,2014-09-03
"150",653,2014-09-03 13:35:00,"Supplemental",0.558,0.558,2014-09-03 13:35:00,2014,9,2014-09-03
"151",653,2014-09-03 13:35:00,"Supplemental",0.558,0.558,2014-09-03 13:35:00,2014,9,2014-09-03
"152",653,2014-09-03 13:35:03,"Supplemental",0.558,0.558,2014-09-03 13:35:03,2014,9,2014-09-03
