"","seaotter","scale","sex","relyear","relmonth","relsiteATOS","relage_d","strandage_d","strandsiteATOS","rel_date_real","mean_daily_ehs_sst","condition","days_in","relyear_first","surrogate","max_relnum","sst_loess_pred","pdo_loess_pred","enso_loess_pred","date","mei_rank","pdo_index","percentlive.y"
"11","327",1.33411646407737,"f",2005,10,321,210,3,812,"2005-10-17",13.6708333333333,0.547690003174296,207,2005,"Toola",3,14.0513254558425,0.193160737477215,38.528220849428,2005-10-17,29,-1.32,55.746272636543
"12","339",0.335212463465657,"f",2006,4,321,210,28,291,"2006-04-25",13.9229166666667,0.541353627316684,182,2006,"Joy",3,13.8858145121949,0.0191320241602601,36.4996627396021,2006-04-25,17,0.4,21.5207673095893
"13","344",0.01,"m",2006,6,321,218,28,273,"2006-06-19",15,0.595506219898131,190,2006,"Rosa",1,13.835804493638,-0.0633982747413273,35.8149486608449,2006-06-19,46,1.04,26.3521932561488
"14","353",0.750435325232586,"f",2006,10,321,223,42,806,"2006-10-07",15.5979166666667,0.557431213512033,181,2006,"Toola",1,13.7623333355096,-0.221741690093343,34.293372330622,2006-10-07,56,-0.05,28.9241272550459
"15","379",0.246112715794125,"f",2007,8,321,250,14,380,"2007-08-13",15.5510416666667,0.57817508549304,236,2007,"Rosa",2,13.6087180237075,-0.472208869819098,31.4752731868353,2007-08-13,18,0.5,49.7675107359692
"16","386",0.826183326710291,"m",2007,10,321,267,21,289,"2007-10-26",13.8333333333333,0.582010158399817,246,2007,"Rosa",1,13.5797540822432,-0.515196200833885,31.1562987264153,2007-10-26,9,-1.45,60.9140482134112
"17","433",0.0108227528092048,"f",2008,11,321,268,42,467,"2008-10-28",13.8333333333333,0.58784832486263,226,2008,"Maggie",1,13.5797540822432,-0.66670717138557,28.3431414944811,2008-10-28,19,-1.25,32.1291306219197
"18","451",0.780625795073092,"m",2009,7,321,303,14,273,"2009-07-20",15.4552083333333,0.569181104586114,289,2009,"Toola",2,13.5146666037206,-0.759441376011744,26.7792268770733,2009-07-20,60,-0.53,44.0019529193272
"19","457",1.69767449073382,"f",2009,12,321,328,14,427,"2009-12-20",12.8333333333333,0.524056882226943,314,2009,"Joy",3,13.5067942165113,-0.802718234364958,26.468507497711,2009-12-20,57,0.08,56.797865908495
"20","466",0.60280178967362,"m",2010,3,321,361,35,812,"2010-03-26",13.5677083333333,0.641886133257644,326,2010,"Rosa",1,13.5033256263375,-0.836247145856805,26.4250744474791,2010-03-26,64,0.44,49.9391105265722
"21","473",0.108885631440466,"f",2010,6,321,280,14,409,"2010-06-22",13.8645833333333,0.583807033201465,266,2010,"Mae",1,13.4895617012697,-0.878206112358071,26.4906812632488,2010-06-22,20,-0.22,49.8594046514205
"22","475",0.569759461381734,"f",2010,11,321,368,1,897,"2010-11-02",14.1270833333333,0.619107670048471,367,2010,"Rosa",2,13.4575587927727,-0.920376685973186,26.581888403074,2010-11-02,4,-0.82,46.0784211649687
"23","501",0.280666869713198,"f",2011,5,321,335,3,810,"2011-05-08",13.5364583333333,0.605164266837205,332,2011,"Toola",2,13.4531327683043,-0.950038539158529,26.9313112691128,2011-05-08,23,-0.37,42.5989198721481
"24","518",0.0223363343041632,"f",2011,12,321,414,3,723,"2011-12-08",11.1333333333333,0.601135840810269,411,2011,"Joy",2,13.4474141705549,-0.952521120946575,27.7367324539356,2011-12-08,13,-1.79,36.3223111806213
"25","520",2.82869961796281,"m",2011,10,321,326,42,822,"2011-10-12",16.31875,0.640630693282291,284,2011,"Rosa",1,13.4506230131986,-0.977330249449243,27.6367042336943,2011-10-12,14,-1.34,42.9366159673315
"26","526",0.0223532132643486,"m",2011,11,321,319,42,916,"2011-11-14",12.7614583333333,0.579591042344489,277,2011,"Mae",1,13.4483286016419,-0.968715387575129,27.6942244684838,2011-11-14,16,-2.33,43.4248512434286
"27","558",1.14619392898968,"m",2012,8,321,360,35,184,"2012-08-08",16.553125,0.640799371009481,325,2012,"Rosa",2,13.5558278570124,-0.760112216061392,28.9318767823579,2012-08-08,48,-1.93,58.9106284058655
"28","587",0.949034643335069,"f",2012,10,321,205,7,920,"2012-10-02",15.4875,0.588868176819803,198,2012,"Rosa",3,13.6302740586991,-0.697888111557865,30.0805118013221,2012-10-02,36,-0.79,52.6142007605181
"29","595",1.36832532232656,"f",2013,4,321,295,7,806,"2013-04-17",12.3979166666667,0.600383161128025,288,2013,"Mae",4,13.9489982338937,-0.37810145433202,36.0944143349347,2013-04-17,34,-0.16,38.4391515239267
"30","621",1.0877811249243,"m",2013,11,321,309,35,233,"2013-11-04",13.1635416666667,0.621310909036158,274,2013,"Rosa",2,14.2049632498144,0.160416626624226,41.5182738059778,2013-11-04,35,-0.11,27.302648308933
"31","623",0.656076718933437,"m",2014,3,321,381,2,823,"2014-03-11",13.9989583333333,0.659656650242989,379,2014,"Abby",2,14.4225507951367,0.332506792982023,44.6285678135221,2014-03-11,36,0.97,34.6387874764908
"32","653",0.01,"f",2014,9,321,305,42,908,"2014-09-27",17.2395833333333,0.583079732070541,263,2014,"Kit",1,14.6453437795093,0.616541549806885,48.1242078128506,2014-09-27,49,1.08,45.1211544586637
"33","657",0.168890689596132,"f",2014,12,321,330,14,387,"2014-12-27",13.953125,0.609577778853092,316,2014,"Rosa",1,14.6696800374306,0.722770704426916,48.7259867913816,2014-12-27,48,2.51,51.0916679237693
"34","671",0.0148731831439171,"f",2015,5,321,308,3,909,"2015-04-29",14.1114583333333,0.593069844505754,305,2015,"Abby",1,14.671664210218,0.866914216826422,49.3790620779417,2015-04-29,63,1.2,48.3853395221523
"35","673",1.67083760469333,"m",2015,7,321,362,3,730,"2015-07-14",18.4135416666667,0.6299875323806,359,2015,"Gidget",3,14.6678398998818,0.922497198906594,49.4669744538787,2015-07-14,68,1.84,33.6337494405881
"36","685",1.90335436885436,"f",2015,9,321,340,42,247,"2015-09-22",17.9479166666667,0.593395575455832,298,2015,"Ivy",1,14.6688714517999,0.972132066460295,49.4296934269338,2015-09-22,68,1.94,40.8143423160143
"37","687",0.977435740842112,"m",2015,10,321,335,14,808,"2015-10-27",16.8729166666667,0.65333302481162,321,2015,"Kit",4,14.6720319791157,0.993726721868089,49.3586564925764,2015-10-27,68,1.47,50.1639484711123
"38","716",1.06285463731792,"f",2017,3,321,508,1,824,"2017-03-09",13.0239583333333,0.607913390595795,507,2017,"Abby",3,14.5722082223793,1.0904877347637,44.5945396258167,2017-03-09,31,0.74,64.4564749261422
"39","723",1.69277066725548,"f",2017,8,382,563,49,258,"2017-08-03",15.3052083333333,0.63712982144622,514,2017,"Ivy",1,14.4927723021697,1.00384736429709,41.6833613116917,2017-08-03,33,0.09,52.3716563490655
"40","774",2.05233618883718,"m",2018,2,397,364,35,245,"2018-02-21",12.0083333333333,0.66390746340816,329,2018,"Selka",1,14.3495758575444,1.00384736429709,37.1921288372181,2018-02-21,15,0.09,51.6819881477882
"41","808",2.02858823625299,"m",2018,9,422,322,49,426,"2018-09-13",15.621875,0.650504311857971,273,2018,"Rosa",1,14.1731851765242,1.00384736429709,30.4802800877157,2018-09-13,48,0.09,50.3055218095569
"42","809",2.78897332359387,"m",2018,9,422,271,24,274,"2018-09-13",15.621875,0.604450914831661,247,2018,"Abby",1,14.1731851765242,1.00384736429709,30.4802800877157,2018-09-13,48,0.09,50.257008081613
