YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 01 04 17  64  5.9  7.6  2.09 12.50  7.50 274 1025.4  10.7  11.8   7.4 99.0 99.00
2002 01 04 18  76  7.4  9.1  2.28 12.50  7.93 268 1025.3  10.9  11.8   7.0 99.0 99.00
2002 01 04 19  78  7.6  9.4  2.19 12.50  7.34 268 1025.2  11.1  11.8   7.2 99.0 99.00
2002 01 04 20  74  7.5  9.7  2.09 11.11  7.34 275 1023.9  11.8  11.7   7.0 99.0 99.00
2002 01 04 21  86  7.0  8.6  1.99 11.11  7.27 278 1023.3  11.9  11.7   7.7 99.0 99.00
2002 01 04 22 102  4.0  5.5  1.92 11.11  6.88 265 1023.3  12.3  11.7   8.3 99.0 99.00
2002 01 04 23 150  2.3  3.1  1.84 11.11  7.49 270 1023.6  13.1  11.7   7.7 99.0 99.00
2002 01 05 00 115  3.3  4.7  1.88 11.11  8.19 271 1022.8  12.6  11.7  10.2 99.0 99.00
2002 01 05 01 168  2.7  3.7  1.95 11.11  8.54 273 1023.9  12.1  11.7  10.5 99.0 99.00
2002 01 05 02 180  3.0  3.7  1.71 11.11  8.60 278 1024.4  12.2  11.6  10.9 99.0 99.00
2002 01 05 03 190  2.9  3.6  1.79 11.11  8.20 285 1025.3  12.1  11.5  10.8 99.0 99.00
2002 01 05 04 137  3.3  4.0  1.70 10.00  8.09 291 1025.3  12.0  11.6  10.7 99.0 99.00
2002 01 05 05 136  5.0  5.8  1.65 11.11  8.08 282 1025.7  12.0  11.6  11.1 99.0 99.00
2002 01 05 06 159  4.0  5.0  1.70 10.00  8.37 295 1026.5  12.1  11.6  11.2 99.0 99.00
2002 01 05 07 153  3.0  3.6  1.47 10.00  8.13 272 1026.7  12.0  11.6  10.9 99.0 99.00
2002 01 05 08 120  3.6  4.6  1.34  9.09  7.99 276 1026.8  11.9  11.6   9.6 99.0 99.00
2002 01 05 09  79  4.4  5.3  1.23 10.00  7.84 282 1026.4  11.5  11.5  10.1 99.0 99.00
2002 01 05 10  80  6.5  7.7  1.31 12.50  8.10 262 1025.6  11.5  11.5   9.4 99.0 99.00
2002 01 05 11  81  6.4  7.7  1.15 11.11  7.30 258 1025.7  11.1  11.5   9.4 99.0 99.00
2002 01 05 12  88  6.5  7.6  1.29 12.50  6.73 260 1025.1  11.4  11.5   9.9 99.0 99.00
2002 01 05 13 109  3.3  3.9  1.24 12.50  7.16 270 1026.1  11.8  11.5  10.3 99.0 99.00
2002 01 05 14  98  3.3  4.2  1.13 11.11  7.34 265 1026.8  11.9  11.5   9.3 99.0 99.00
2002 01 05 15  88  4.6  5.3  1.09 12.50  7.06 266 1027.1  11.4  11.5   9.2 99.0 99.00
2002 01 05 16  79  4.1  5.4 99.00 99.00 99.00 999 1027.3  11.8  11.5   9.6 99.0 99.00
2002 01 05 17  90  5.7  6.9  1.36 12.50  7.58 270 1027.9  11.4  11.5   9.7 99.0 99.00
2002 01 05 18  89  5.8  7.1  1.39 11.11  7.13 266 1028.5  11.7  11.5   9.4 99.0 99.00
2002 01 05 19  98  6.1  7.3  1.56 11.11  7.20 267 1028.4  11.5  11.5   9.4 99.0 99.00
2002 01 05 20  84  4.4  5.5  1.68 11.11  7.42 269 1027.4  11.9  11.5   9.4 99.0 99.00
2002 01 05 21 115  4.1  5.6  1.78 10.00  7.59 275 1026.7  12.6  11.5   9.5 99.0 99.00
2002 01 05 22 121  3.3  4.1  1.84 10.00  7.81 269 1026.8  12.6  11.5  10.9 99.0 99.00
2002 01 05 23 141  4.5  5.3  1.76 12.50  8.21 267 1026.6  12.8  11.5  11.2 99.0 99.00
2002 01 06 00 130  5.1  6.2  1.82 12.50  8.48 267 1026.6  12.8  11.6  10.6 99.0 99.00
2002 01 06 01 136  3.6  4.5  1.85 14.29  8.46 270 1026.4  12.6  11.6  10.7 99.0 99.00
2002 01 06 02 123  1.5  2.2  1.78 14.29  8.12 266 1027.4  12.6  11.5  10.9 99.0 99.00
2002 01 06 03 117  3.5  4.3  1.81 14.29  8.54 271 1027.1  12.6  11.5  11.2 99.0 99.00
2002 01 06 04 125  2.9  3.6  1.63 12.50  7.84 270 1027.2  12.6  11.5  11.6 99.0 99.00
2002 01 06 05 102  2.8  3.5  1.94 12.50  8.88 270 1027.5  12.5  11.5  11.6 99.0 99.00
2002 01 06 06 107  3.4  4.3  1.96 14.29  9.08 270 1027.7  12.6  11.5  11.4 99.0 99.00
2002 01 06 07 113  4.5  5.4  1.69 14.29  8.34 278 1027.4  12.6  11.5  10.3 99.0 99.00
2002 01 06 08 104  4.4  5.6  2.10 12.50  8.92 271 1027.0  12.6  11.5  10.3 99.0 99.00
2002 01 06 09  89  3.8  4.9  2.05 12.50  9.18 272 1026.2  12.7  11.5   9.3 99.0 99.00
2002 01 06 10  77  2.8  4.3  2.30 12.50  9.51 274 1025.8  12.9  11.5   8.9 99.0 99.00
2002 01 06 11 191  1.6  2.2  2.13 12.50  9.44 280 1026.7  12.8  11.5   9.7 99.0 99.00
2002 01 06 12  75  3.0  4.4  2.40 11.11  9.53 267 1026.4  12.5  11.5  10.9 99.0 99.00
2002 01 06 13  84  5.0  7.1  2.31 11.11  9.14 272 1025.6  12.1  11.5   9.8 99.0 99.00
2002 01 06 14  66  2.5  3.8  2.12 11.11  8.82 273 1026.7  12.1  11.5   9.9 99.0 99.00
2002 01 06 15  93  2.3  3.6  2.23 11.11  9.03 275 1027.0  12.2  11.5  10.1 99.0 99.00
2002 01 06 16  80  3.6  4.7  2.20 11.11  8.76 275 1026.9  12.3  11.5  10.5 99.0 99.00
2002 01 06 17  89  4.3  5.6  2.02 10.00  8.48 263 1027.3  12.3  11.5  10.0 99.0 99.00
2002 01 06 18  91  4.1  5.1  2.31 12.50  8.75 271 1028.3  12.2  11.5   9.9 99.0 99.00
2002 01 06 19  86  4.6  6.2  2.12 12.50  8.16 268 1028.0  12.1  11.5   9.2 99.0 99.00
2002 01 06 20  99  3.9  5.1  2.40 11.11  8.69 266 1026.8  12.4  11.6   9.7 99.0 99.00
2002 01 06 21 108  0.9  1.6  2.22 12.50  8.52 267 1026.8  12.9  11.7  10.2 99.0 99.00
2002 01 06 22  88  0.4  1.8  2.46 12.50  8.89 277 1026.4  12.9  11.8  10.8 99.0 99.00
2002 01 06 23 355  0.3  1.0  2.21 12.50  8.92 274 1026.5  13.0  11.9  11.2 99.0 99.00
2002 01 07 00  61  0.2  1.0  2.38 14.29  9.34 273 1026.4  13.5  11.9  11.1 99.0 99.00
2002 01 07 01 122  1.0  2.1  2.25 12.50  8.97 268 1025.8  12.9  11.9  12.1 99.0 99.00
2002 01 07 02 168  0.7  1.1  2.54 12.50 10.11 267 1025.9  12.2  11.9  12.0 99.0 99.00
2002 01 07 03 173  2.3  3.0  2.86 12.50 10.40 269 1026.0  11.2  11.9  11.1 99.0 99.00
2002 01 07 04 170  2.5  3.1  2.69 12.50 10.14 271 1026.4  10.7  11.9  10.6 99.0 99.00
2002 01 07 05 184  2.1  2.8  3.48 14.29 10.82 270 1026.6  10.5  12.0  10.4 99.0 99.00
2002 01 07 06 190  0.7  1.3  3.42 12.50 10.45 270 1027.1  10.3  11.8  10.1 99.0 99.00
2002 01 07 07 128  1.7  3.1  3.10 12.50  9.97 271 1027.1  10.1  11.8  10.1 99.0 99.00
2002 01 07 08 151  1.8  2.8  3.21 11.11 10.00 272 1027.0   9.9  11.8   9.7 99.0 99.00
2002 01 07 09 163  1.1  2.0  3.75 12.50 10.45 272 1026.7   9.8  11.7   9.7 99.0 99.00
2002 01 07 10 126  1.7  3.0  3.24 12.50  9.93 270 1026.4   9.9  11.8   9.8 99.0 99.00
2002 01 07 11 132  1.9  4.5  2.93 12.50  9.76 266 1026.3   9.8  11.7   9.7 99.0 99.00
2002 01 07 12 121  2.8  4.3  3.01 12.50  9.69 267 1025.6   9.4  11.8   9.2 99.0 99.00
2002 01 07 13 115  2.3  4.1  3.04 12.50  9.92 268 1025.0   9.4  11.8   9.2 99.0 99.00
2002 01 07 14 123  2.3  3.8 99.00 99.00 99.00 999 1024.9   9.1  11.8   8.9 99.0 99.00
2002 01 07 15  68  2.2  3.9  2.94 14.29 10.04 263 1025.1   9.0  11.8   8.8 99.0 99.00
2002 01 07 16 109  1.6  3.0  3.12 14.29 10.48 268 1025.5   9.2  11.8   9.1 99.0 99.00
2002 01 07 17 145  1.6  2.9 99.00 99.00 99.00 999 1025.9   9.1  11.8   8.9 99.0 99.00
2002 01 07 18 145  1.6  2.6 99.00 99.00 99.00 999 1026.6   9.5  11.9   9.4 99.0 99.00
2002 01 07 19 151  2.4  3.2  3.69 14.29 11.46 265 1026.9   9.6  12.1   9.4 99.0 99.00
2002 01 07 20 185  2.1  3.7  4.02 14.29 11.92 265 1026.9   9.9  12.1   9.8 99.0 99.00
2002 01 07 21 173  3.0  4.5  4.85 14.29 12.37 265 1026.0  10.2  12.2  10.0 99.0 99.00
2002 01 07 22 196  3.0  4.6 99.00 99.00 99.00 999 1025.5  10.9  12.2  10.8 99.0 99.00
2002 01 07 23 186  2.4  3.6  4.65 14.29 12.32 271 1025.2  11.1  12.3  11.0 99.0 99.00
2002 01 08 00 148  2.8  4.1  4.14 16.67 12.16 271 1024.9  11.1  12.4  11.0 99.0 99.00
2002 01 08 01 112  2.5  4.2  4.14 16.67 12.25 269 1024.3  10.6  12.4  10.4 99.0 99.00
2002 01 08 02 106  2.7  4.2  4.10 16.67 12.68 270 1024.6  10.1  12.4  10.1 99.0 99.00
2002 01 08 03  81  1.4  3.2  4.94 16.67 12.85 268 1024.7   9.8  12.3   9.6 99.0 99.00
2002 01 08 04  48  1.8  3.1  3.97 16.67 12.71 273 1024.7   9.8  12.3   9.7 99.0 99.00
2002 01 08 05  84  0.9  2.7  4.45 16.67 12.81 274 1024.7   9.6  12.3   9.6 99.0 99.00
2002 01 08 06 108  1.6  3.4  3.97 16.67 12.64 281 1024.4   9.8  12.3   9.7 99.0 99.00
2002 01 08 07 108  3.5  5.5  3.79 14.29 11.63 277 1024.1  10.2  12.3  10.0 99.0 99.00
2002 01 08 08  91  3.0  5.2  4.31 16.67 12.45 282 1023.6  10.5  12.3  10.5 99.0 99.00
2002 01 08 09  75  2.4  4.3  4.31 16.67 12.18 276 1022.9  11.1  12.3  10.4 99.0 99.00
2002 01 08 10  79  3.9  5.9  4.41 16.67 12.50 278 1022.4  11.1  12.2  10.9 99.0 99.00
2002 01 08 11  59  2.6  4.5  4.36 14.29 11.64 279 1022.9  11.0  12.2  10.6 99.0 99.00
2002 01 08 12  22  1.4  2.2  4.34 14.29 11.72 277 1022.7  11.7  12.1  10.4 99.0 99.00
2002 01 08 13  17  1.9  3.4  4.21 16.67 11.66 280 1022.0  12.2  11.9  10.5 99.0 99.00
2002 01 08 14  72  3.2  5.6  4.42 16.67 12.33 274 1021.6  12.2  11.9  10.3 99.0 99.00
2002 01 08 15  73  3.5  5.1  4.79 14.29 12.34 273 1021.7  11.9  11.8  10.6 99.0 99.00
2002 01 08 16  76  5.7  7.9  3.89 16.67 11.28 272 1021.3  11.8  11.7  10.1 99.0 99.00
2002 01 08 17  76  5.7  8.3  4.04 16.67 11.58 275 1021.0  12.2  11.7  10.3 99.0 99.00
2002 01 08 18  74  6.4 10.3  4.07 16.67 11.69 272 1021.3  12.1  11.7   9.6 99.0 99.00
2002 01 08 19  79  5.8  9.0  4.60 16.67 11.54 279 1021.6  12.3  11.7   8.8 99.0 99.00
2002 01 08 20  49  3.3  5.4  4.15 16.67 11.16 279 1021.3  12.6  11.7   7.9 99.0 99.00
2002 01 08 21 307  3.2  4.4  3.79 16.67 11.45 285 1020.7  12.7  11.8  11.7 99.0 99.00
2002 01 08 22 342  2.4  3.1  4.04 16.67 11.26 285 1019.3  13.0  11.8  11.8 99.0 99.00
2002 01 08 23 298  4.3  5.8  3.94 16.67 11.57 284 1019.3  12.8  11.8  12.3 99.0 99.00
2002 01 09 00 301  4.2  5.7  3.91 16.67 11.50 279 1019.1  12.7  11.8  12.5 99.0 99.00
2002 01 09 01 305  3.8  5.2  3.92 16.67 11.40 278 1018.8  12.0  11.7  11.9 99.0 99.00
2002 01 09 02 303  3.1  4.9  4.16 16.67 11.66 280 1018.3  11.6  11.7  11.4 99.0 99.00
2002 01 09 03 287  6.2  7.8  3.95 16.67 11.88 285 1018.7  11.1  11.7  11.0 99.0 99.00
2002 01 09 04 297  6.2  8.4  4.51 16.67 12.99 283 1018.8  10.8  11.7  10.6 99.0 99.00
2002 01 09 05 309  8.1 10.3  4.71 14.29 12.14 281 1019.1  11.5  11.8  11.4 99.0 99.00
2002 01 09 06 311  8.2 10.5  4.05 16.67 10.82 284 1019.3  11.5  11.7  11.3 99.0 99.00
2002 01 09 07 322  7.8  9.6  4.39 16.67 10.84 286 1019.0  11.5  11.7  11.3 99.0 99.00
2002 01 09 08 314  8.5 10.7  5.50 20.00 11.78 285 1019.1  12.5  11.7  11.8 99.0 99.00
2002 01 09 09 314  9.6 12.2  4.37 16.67  9.96 280 1019.0  12.1  11.7  11.4 99.0 99.00
2002 01 09 10 321  9.0 11.0  4.83 20.00 10.79 282 1018.9  12.1  11.7  10.8 99.0 99.00
2002 01 09 11 325  7.9 10.0  4.02 16.67  9.70 288 1018.8  12.3  11.7  11.3 99.0 99.00
2002 01 09 12 316  8.2  9.9  4.46 16.67 10.22 288 1018.3  12.3  11.7  11.0 99.0 99.00
2002 01 09 13 314  9.4 11.5  4.18 16.67 10.14 285 1018.5  12.0  11.7  10.9 99.0 99.00
2002 01 09 14 314  8.9 11.3 99.00 99.00 99.00 999 1018.8  11.9  11.7  10.8 99.0 99.00
2002 01 09 15 311  8.4 10.9  4.65 16.67 10.51 296 1019.4  12.1  11.7  10.5 99.0 99.00
2002 01 09 16 315  7.9  9.8  4.06 16.67  9.82 287 1019.3  12.1  11.7  10.6 99.0 99.00
2002 01 09 17 316  8.5 10.8  4.99 16.67 10.40 291 1020.3  12.1  11.7  10.4 99.0 99.00
2002 01 09 18 315  9.2 11.4  4.83 16.67 10.42 287 1020.8  12.0  11.7   9.3 99.0 99.00
2002 01 09 19 325  8.7 10.6  4.19 16.67  9.02 288 1021.0  12.2  11.7   9.6 99.0 99.00
2002 01 09 20 322  8.2 10.2  4.57 16.67  9.72 292 1020.1  12.2  11.8   8.5 99.0 99.00
2002 01 09 21 315  8.0  9.5  4.79 16.67 10.23 288 1019.3  12.0  11.8   9.0 99.0 99.00
2002 01 09 22 308  7.7  9.8  4.73 14.29 10.24 287 1019.3  12.0  11.8   9.4 99.0 99.00
2002 01 09 23 296  9.5 12.3  4.62 14.29  9.71 289 1019.2  12.1  11.8   9.3 99.0 99.00
2002 01 10 00 303  9.9 12.3  4.42 16.67  9.30 294 1019.2  12.1  11.8   9.3 99.0 99.00
2002 01 10 01 306  9.4 11.1  4.34 16.67  9.36 288 1019.4  11.9  11.8   9.1 99.0 99.00
2002 01 10 02 320  9.8 11.6  3.71 16.67  8.38 284 1019.5  11.8  11.8   9.2 99.0 99.00
2002 01 10 03 305  8.9 11.1  4.08 16.67  9.24 283 1020.9  11.9  11.7   9.5 99.0 99.00
2002 01 10 04 318  8.8 11.0  3.66 16.67  9.07 276 1021.0  12.0  11.7   9.3 99.0 99.00
2002 01 10 05 322  9.0 11.3  3.97 16.67  9.30 286 1021.2  11.9  11.7   9.3 99.0 99.00
