YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 04 10 355  5.8  7.2  2.03 10.00  7.39 311 1026.0   9.8  12.8 999.0 99.0 99.00
2004 01 04 11  31  3.8  5.6  1.78 11.11  7.00 301 1026.2   9.5  12.8 999.0 99.0 99.00
2004 01 04 12 343  5.9  7.7  1.86 12.50  7.10 295 1026.7   9.7  12.8 999.0 99.0 99.00
2004 01 04 13   3  4.7  6.7  1.75 12.50  7.22 307 1026.2   9.5  12.8 999.0 99.0 99.00
2004 01 04 14   3  5.4  6.8  1.76 12.50  7.06 301 1026.7   9.5  12.8 999.0 99.0 99.00
2004 01 04 15  10  5.0  6.5  1.66 11.11  6.91 298 1027.1   9.4  12.8 999.0 99.0 99.00
2004 01 04 16   6  5.6  6.8  1.62 12.50  6.84 301 1027.2   9.4  12.8 999.0 99.0 99.00
2004 01 04 17  38  5.0  6.7  1.62 11.11  6.79 306 1027.8   9.4  12.7 999.0 99.0 99.00
2004 01 04 18  62  3.8  5.0  1.66 12.50  7.07 302 1028.4   9.0  12.8 999.0 99.0 99.00
2004 01 04 19  47  2.3  3.2  1.62 12.50  7.09 304 1028.7   8.9  12.8 999.0 99.0 99.00
2004 01 04 20  16  1.8  2.9  1.73 12.50  7.20 310 1028.1   9.0  12.8 999.0 99.0 99.00
2004 01 04 21 354  3.5  5.1  1.83 12.50  7.45 304 1026.8   9.7  12.8 999.0 99.0 99.00
2004 01 04 22 328  5.8  6.9  1.66 11.11  7.47 309 1025.9  10.2  12.8 999.0 99.0 99.00
2004 01 04 23 326  8.1 10.0  1.70 11.11  7.02 311 1025.9  10.5  12.8 999.0 99.0 99.00
2004 01 05 00 330  8.4 10.0  1.68 12.50  6.38 294 1025.6  10.5  12.8 999.0 99.0 99.00
2004 01 05 01 337  9.0 10.5  1.69 10.00  6.10 306 1025.0  10.5  12.8 999.0 99.0 99.00
2004 01 05 02 349  8.4  9.8  1.69 11.11  5.64 321 1024.3  10.6  12.8 999.0 99.0 99.00
2004 01 05 03 344  7.9  9.1  1.70 10.00  6.12 307 1025.2  10.9  12.8 999.0 99.0 99.00
2004 01 05 04 347  7.6  9.3  1.64 10.00  6.45 307 1024.9  10.6  12.8 999.0 99.0 99.00
2004 01 05 05 354  7.8  9.1  1.72 11.11  6.44 308 1025.0  10.6  12.8 999.0 99.0 99.00
2004 01 05 06 349  7.0  8.4  1.67 11.11  6.21 308 1025.6  10.6  12.8 999.0 99.0 99.00
2004 01 05 07 355  6.9  8.0  1.61 10.00  6.29 308 1025.6  10.6  12.8 999.0 99.0 99.00
2004 01 05 08 353  6.1  7.1  1.67 10.00  6.26 309 1025.4  10.4  12.8 999.0 99.0 99.00
2004 01 05 09  76  5.2  6.6  1.63 10.00  6.52 306 1025.1  10.2  12.8 999.0 99.0 99.00
2004 01 05 10  54  3.8  5.1  1.68 10.00  6.54 306 1025.3   9.7  12.8 999.0 99.0 99.00
2004 01 05 11  65  6.5  7.8  1.55  9.09  6.50 303 1025.0   9.5  12.8 999.0 99.0 99.00
2004 01 05 12  51  5.9  7.3  1.71 11.11  5.98 298 1025.0   9.7  12.8 999.0 99.0 99.00
2004 01 05 13  65  6.6  7.8  1.76  9.09  6.05 306 1024.0   9.5  12.8 999.0 99.0 99.00
2004 01 05 14  65  7.8  9.6  1.53 10.00  5.82 311 1023.8   9.1  12.8 999.0 99.0 99.00
2004 01 05 15  53  8.4  9.8  1.49  9.09  5.60 311 1023.8   9.4  12.8 999.0 99.0 99.00
2004 01 05 16  60  8.2  9.8  1.50 11.11  5.55 299 1024.4   9.4  12.8 999.0 99.0 99.00
2004 01 05 17  71  7.9  9.6  1.55 10.00  5.74 321 1025.1   9.5  12.8 999.0 99.0 99.00
2004 01 05 18  74  7.3  9.1  1.60 14.29  5.82 294 1025.2   9.9  12.8 999.0 99.0 99.00
2004 01 05 19  70  8.0  9.5  1.56 10.00  5.99 302 1024.8  10.2  12.8 999.0 99.0 99.00
2004 01 05 20  69  8.4  9.8  1.50 10.00  5.63 308 1023.8  10.6  12.8 999.0 99.0 99.00
2004 01 05 21  53  7.2  8.7  1.49  9.09  5.73 305 1022.7  10.5  12.8 999.0 99.0 99.00
2004 01 05 22  56  6.6  7.7  1.45 12.50  5.58 299 1022.0  11.3  12.8 999.0 99.0 99.00
2004 01 05 23  49  5.7  6.5  1.55 10.00  5.90 310 1021.4  12.1  12.8 999.0 99.0 99.00
2004 01 06 00 345  4.9  5.9  1.35  9.09  6.11 312 1021.5  11.7  12.8 999.0 99.0 99.00
2004 01 06 01 329  4.5  5.4  1.25  9.09  6.17 315 1021.4  11.4  12.8 999.0 99.0 99.00
2004 01 06 02 305  5.5  6.5  1.27  9.09  6.82 311 1021.7  11.2  12.8 999.0 99.0 99.00
2004 01 06 03 310  4.2  5.1  1.23  9.09  7.20 308 1021.2  11.4  12.8 999.0 99.0 99.00
2004 01 06 04  12  3.4  4.0  1.10  9.09  7.24 313 1021.0  11.7  12.8 999.0 99.0 99.00
2004 01 06 05  55  3.3  3.7  1.04 12.50  7.54 302 1020.6  11.4  12.8 999.0 99.0 99.00
2004 01 06 06  78  5.1  6.0  0.89  8.33  7.20 311 1020.3  11.6  12.8 999.0 99.0 99.00
