#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 05 06 00 320 10.8 99.0 99.00 99.00 99.00 999 1024.2   8.6  11.7 999.0 99.0 99.00
2007 01 05 07 00 320 11.3 99.0 99.00 99.00 99.00 999 1024.8   8.2  11.7 999.0 99.0 99.00
2007 01 05 08 00 320  9.8 99.0 99.00 99.00 99.00 999 1025.3   8.0  11.7 999.0 99.0 99.00
2007 01 05 11 00 310  9.8 99.0 99.00 99.00 99.00 999 1026.8   8.2  11.7 999.0 99.0 99.00
2007 01 05 12 00 330  9.3 99.0 99.00 99.00 99.00 999 1027.4   8.2  11.7 999.0 99.0 99.00
2007 01 05 13 00 340  7.7 99.0 99.00 99.00 99.00 999 1027.8   8.2  11.6 999.0 99.0 99.00
2007 01 05 14 00 330  9.8 99.0 99.00 99.00 99.00 999 1028.6   8.3  11.6 999.0 99.0 99.00
2007 01 05 15 00 330  9.3 99.0 99.00 99.00 99.00 999 1029.0   8.3  11.5 999.0 99.0 99.00
2007 01 05 16 00 340  8.8 99.0 99.00 99.00 99.00 999 1029.6   8.4  11.5 999.0 99.0 99.00
2007 01 05 17 00 340  9.3 99.0 99.00 99.00 99.00 999 1030.3   8.1  11.6 999.0 99.0 99.00
2007 01 05 19 00 320  9.8 99.0 99.00 99.00 99.00 999 1030.3   8.8  11.7 999.0 99.0 99.00
2007 01 05 20 00 340 10.3 99.0 99.00 99.00 99.00 999 1029.3   9.4  11.7 999.0 99.0 99.00
2007 01 05 21 00 330  8.8 99.0 99.00 99.00 99.00 999 1028.9   9.7  11.8 999.0 99.0 99.00
2007 01 05 22 00 310  9.3 99.0 99.00 99.00 99.00 999 1028.9   9.7  11.8 999.0 99.0 99.00
2007 01 05 23 00 310 11.8 99.0 99.00 99.00 99.00 999 1029.1   9.4  11.9 999.0 99.0 99.00
2007 01 06 00 00 310 11.3 99.0 99.00 99.00 99.00 999 1029.8   9.7  11.8 999.0 99.0 99.00
2007 01 06 01 00 310 10.3 99.0 99.00 99.00 99.00 999 1030.4   9.7  11.8 999.0 99.0 99.00
2007 01 06 03 00 300  5.7 99.0 99.00 99.00 99.00 999 1031.4   9.9  11.8 999.0 99.0 99.00
2007 01 06 04 00 300  4.1 99.0 99.00 99.00 99.00 999 1031.9   9.9  11.7 999.0 99.0 99.00
2007 01 06 05 00 320  3.1 99.0 99.00 99.00 99.00 999 1032.1  10.0  11.7 999.0 99.0 99.00
2007 01 06 08 00 320  3.1 99.0 99.00 99.00 99.00 999 1032.0  10.1  11.6 999.0 99.0 99.00
2007 01 06 09 00  20  2.6 99.0 99.00 99.00 99.00 999 1032.1   9.8  11.6 999.0 99.0 99.00
2007 01 06 10 00  80  3.1 99.0 99.00 99.00 99.00 999 1032.2   9.2  11.5 999.0 99.0 99.00
2007 01 06 11 00  90  2.1 99.0 99.00 99.00 99.00 999 1033.0   8.7  11.5 999.0 99.0 99.00
2007 01 06 13 00  80  3.1 99.0 99.00 99.00 99.00 999 1032.8   8.0  11.6 999.0 99.0 99.00
