YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 08 13 13 00 180  2.6 99.0 99.00 99.00 99.00 999 9999.0  11.7  14.7 999.0 99.0 99.00
2006 08 13 14 00 230  2.1 99.0 99.00 99.00 99.00 999 9999.0  11.7  14.9 999.0 99.0 99.00
2006 08 13 15 00 180  2.6 99.0 99.00 99.00 99.00 999 9999.0  11.8  14.9 999.0 99.0 99.00
2006 08 13 16 00 210  1.5 99.0 99.00 99.00 99.00 999 9999.0  11.9  14.7 999.0 99.0 99.00
2006 08 13 17 00 210  2.1 99.0 99.00 99.00 99.00 999 9999.0  12.1  14.6 999.0 99.0 99.00
2006 08 13 18 00 190  1.5 99.0 99.00 99.00 99.00 999 9999.0  12.2  14.6 999.0 99.0 99.00
2006 08 13 19 00 180  3.6 99.0 99.00 99.00 99.00 999 9999.0  12.2  14.7 999.0 99.0 99.00
2006 08 13 20 00 200  2.6 99.0 99.00 99.00 99.00 999 9999.0  12.4  14.9 999.0 99.0 99.00
2006 08 13 21 00 190  4.1 99.0 99.00 99.00 99.00 999 9999.0  12.8  15.0 999.0 99.0 99.00
2006 08 13 22 00 200  4.1 99.0 99.00 99.00 99.00 999 9999.0  13.2  15.0 999.0 99.0 99.00
2006 08 13 23 00 220  4.1 99.0 99.00 99.00 99.00 999 9999.0  13.5  15.0 999.0 99.0 99.00
2006 08 14 00 00 230  4.1 99.0 99.00 99.00 99.00 999 9999.0  13.6  15.0 999.0 99.0 99.00
2006 08 14 01 00 230  4.1 99.0 99.00 99.00 99.00 999 9999.0  13.8  14.8 999.0 99.0 99.00
2006 08 14 02 00 230  4.1 99.0 99.00 99.00 99.00 999 9999.0  13.8  14.8 999.0 99.0 99.00
2006 08 14 03 00 220  2.1 99.0 99.00 99.00 99.00 999 9999.0  13.8  14.8 999.0 99.0 99.00
2006 08 14 04 00 200  3.1 99.0 99.00 99.00 99.00 999 9999.0  13.8  14.9 999.0 99.0 99.00
2006 08 14 05 00 210  2.6 99.0 99.00 99.00 99.00 999 9999.0  13.9  14.9 999.0 99.0 99.00
2006 08 14 06 00 180  3.1 99.0 99.00 99.00 99.00 999 9999.0  13.8  15.0 999.0 99.0 99.00
2006 08 14 07 00 180  3.6 99.0 99.00 99.00 99.00 999 9999.0  13.7  14.9 999.0 99.0 99.00
2006 08 14 08 00 180  4.6 99.0 99.00 99.00 99.00 999 9999.0  13.7  14.9 999.0 99.0 99.00
