#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 06 21 50 350  1.0  1.6  1.13 13.79  7.65 300 1018.3 999.0  13.3 999.0 99.0 99.00
2010 01 06 22 50 340  2.8  3.7  1.20 14.81  8.21 282 1018.1 999.0  13.4 999.0 99.0 99.00
2010 01 06 23 50 320  6.3  7.5  1.14 14.81  8.61 294 1018.1 999.0  13.4 999.0 99.0 99.00
2010 01 07 00 50 315  7.8  9.8  1.41 13.79  7.45 292 1017.8 999.0  13.2 999.0 99.0 99.00
2010 01 07 01 50 319  9.4 11.2  1.54 13.79  6.18 288 1017.6 999.0  13.2 999.0 99.0 99.00
2010 01 07 02 50 339  9.1 11.1  1.60 13.79  5.66 293 1018.1 999.0  13.1 999.0 99.0 99.00
2010 01 07 03 50 345  8.1  9.6  1.72 13.79  5.68 283 1018.7 999.0  13.1 999.0 99.0 99.00
2010 01 07 04 50 341  7.8  9.3  1.63 13.79  5.83 297 1019.3 999.0  13.1 999.0 99.0 99.00
2010 01 07 05 50   6  7.0  8.2  1.74 13.79  6.24 301 1018.6 999.0  13.1 999.0 99.0 99.00
2010 01 07 06 50   1  4.4  5.4  1.64 12.90  6.09 293 1018.6 999.0  13.1 999.0 99.0 99.00
2010 01 07 07 50  44  1.7  2.6  1.62 13.79  7.02 282 1018.4 999.0  13.1 999.0 99.0 99.00
2010 01 07 08 50 359  1.2  1.5  1.55 12.90  7.56 282 1018.1 999.0  13.1 999.0 99.0 99.00
2010 01 07 09 50  13  1.0  1.5  1.51 12.12  8.21 288 1018.1 999.0  13.1 999.0 99.0 99.00
2010 01 07 10 50 352  1.3  1.7  1.56 12.12  8.45 287 1018.5 999.0  12.9 999.0 99.0 99.00
2010 01 07 11 50  58  1.4  1.9  1.51 12.12  8.46 297 1017.9 999.0  12.8 999.0 99.0 99.00
2010 01 07 12 50  45  0.2  0.9  1.73 12.90  9.07 286 1017.9 999.0  12.7 999.0 99.0 99.00
2010 01 07 13 50 312  1.6  2.3  1.69 11.43  9.17 279 1018.1 999.0  12.7 999.0 99.0 99.00
2010 01 07 14 50 312  6.1  7.1  1.68 12.90  8.96 280 1018.6 999.0  12.6 999.0 99.0 99.00
2010 01 07 15 50 341  7.3  8.9  1.81 12.12  8.08 282 1019.2 999.0  12.7 999.0 99.0 99.00
2010 01 07 16 50   7  7.1  8.3  1.72 12.90  6.86 288 1018.9 999.0  12.7 999.0 99.0 99.00
2010 01 07 17 50   1  4.6  5.5  1.79 11.43  6.88 288 1019.7 999.0  12.7 999.0 99.0 99.00
2010 01 07 18 50 339  4.2  5.0  1.84 12.12  7.52 287 1020.1 999.0  12.8 999.0 99.0 99.00
2010 01 07 19 50  20  3.4  4.0  1.79 11.43  7.81 286 1018.7 999.0  12.8 999.0 99.0 99.00
2010 01 07 20 50 111  1.0  1.6  1.84 11.43  7.83 287 1017.6 999.0  12.9 999.0 99.0 99.00
2010 01 07 21 50 291  1.3  2.0  1.84 12.12  7.97 288 1017.2 999.0  13.2 999.0 99.0 99.00
2010 01 07 22 50 319  3.3  3.9  1.77 12.12  8.30 283 1017.3 999.0  12.8 999.0 99.0 99.00
2010 01 07 23 50 322  3.5  4.3  1.73 12.12  8.57 282 1017.5 999.0  12.7 999.0 99.0 99.00
2010 01 08 00 50 318  4.5  5.4  1.61 12.12  8.38 269 1017.8 999.0  12.6 999.0 99.0 99.00
2010 01 08 01 50 312  7.2  8.5  1.65 12.90  8.60 280 1018.2 999.0  12.5 999.0 99.0 99.00
2010 01 08 02 50 326  7.7  9.4  1.58 10.81  7.53 272 1018.2 999.0  12.5 999.0 99.0 99.00
2010 01 08 03 50 339  7.7  9.2  1.78 12.12  6.97 279 1018.1 999.0  12.5 999.0 99.0 99.00
2010 01 08 04 50 324  7.6  9.0  1.90 12.12  7.12 283 1018.3 999.0  12.5 999.0 99.0 99.00
2010 01 08 05 50 339  5.6  6.7  1.88 11.43  7.15 292 1018.0 999.0  12.5 999.0 99.0 99.00
2010 01 08 06 50 343  2.3  3.2  1.85 12.12  7.53 283 1018.1 999.0  12.5 999.0 99.0 99.00
2010 01 08 07 50 359  2.2  2.7  1.89 11.43  7.91 284 1018.0 999.0  12.5 999.0 99.0 99.00
2010 01 08 08 50  78  1.4  2.0  1.79 11.43  8.58 282 1017.4 999.0  12.5 999.0 99.0 99.00
2010 01 08 09 50  79  3.4  4.3  1.83 12.12  8.85 282 1016.8 999.0  12.4 999.0 99.0 99.00
2010 01 08 10 50  81  4.4  5.7  1.92 12.12  9.45 275 1017.1 999.0  12.4 999.0 99.0 99.00
2010 01 08 11 50  70  5.2  6.4  2.11 13.79  9.29 284 1017.3 999.0  12.4 999.0 99.0 99.00
2010 01 08 12 50  87  2.8  4.0  2.32 13.79  9.42 278 1017.7 999.0  12.4 999.0 99.0 99.00
2010 01 08 13 50  63  5.2  6.8  2.41 14.81  9.27 280 1017.8 999.0  12.4 999.0 99.0 99.00
2010 01 08 14 50  54  5.3  6.5  2.50 12.90  9.64 274 1018.2 999.0  12.4 999.0 99.0 99.00
2010 01 08 15 50  44  2.4  3.5  2.67 12.12 10.22 273 1018.8 999.0  12.5 999.0 99.0 99.00
2010 01 08 16 50 341  2.2  2.8  2.89 12.90 10.91 269 1019.5 999.0  12.6 999.0 99.0 99.00
2010 01 08 17 50 334  2.7  3.5  2.86 16.00 10.86 276 1020.5 999.0  12.6 999.0 99.0 99.00
2010 01 08 18 50 331  2.9  3.6  2.87 16.00 11.22 270 1020.7 999.0  12.7 999.0 99.0 99.00
2010 01 08 19 50  13  3.3  4.0  2.84 14.81 11.31 270 1020.0 999.0  12.8 999.0 99.0 99.00
2010 01 08 20 50  96  3.3  4.8  2.65 14.81 11.12 271 1018.3 999.0  12.8 999.0 99.0 99.00
2010 01 08 21 50 135  2.9  4.3  2.85 16.00 11.35 273 1017.8 999.0  12.8 999.0 99.0 99.00
2010 01 08 22 50 316  2.1  2.9  2.86 16.00 11.50 282 1018.5 999.0  12.9 999.0 99.0 99.00
2010 01 08 23 50 309  4.8  6.4  2.92 12.90 11.64 273 1019.1 999.0  13.0 999.0 99.0 99.00
2010 01 09 00 50 324  4.7  5.5  2.89 14.81 11.91 279 1019.9 999.0  13.1 999.0 99.0 99.00
2010 01 09 01 50 322  5.0  6.1  2.71 14.81 11.55 275 1020.9 999.0  13.0 999.0 99.0 99.00
